Health District,Lab Report Date,Number of PCR Testing Encounters,Number of Positive PCR Testing Encounters,Percentage of +ve PCR tests,Percentage of total tests given were PCR tests,Total Number of Positive Testing Encounters,Total Number of Testing Encounters
Loudoun,8/10/2020,445,19,4.269662921,95.493562232,23,466
Mount Rogers,8/10/2020,115,10,8.695652174,91.269841270,18,126
New River,8/10/2020,292,26,8.904109589,94.498381877,26,309
Norfolk,8/10/2020,326,31,9.509202454,100,31,326
Out of State,8/10/2020,394,19,4.822335025,98.009950249,21,402
Peninsula,8/10/2020,389,25,6.426735219,99.743589744,25,390
Piedmont,8/10/2020,137,5,3.649635036,98.561151079,6,139
Pittsylvania-Danville,8/10/2020,49,10,20.408163265,100,10,49
Portsmouth,8/10/2020,301,39,12.956810631,99.668874172,39,302
Prince William,8/10/2020,705,59,8.368794326,95.528455285,70,738
Rappahannock,8/10/2020,422,34,8.056872038,98.829039813,35,427
Rappahannock Rapidan,8/10/2020,200,7,3.5,99.502487562,8,201
Richmond,8/10/2020,448,18,4.017857143,99.777282851,18,449
Roanoke,8/10/2020,545,13,2.385321101,98.553345389,13,553
Southside,8/10/2020,66,5,7.575757576,100,5,66
Thomas Jefferson,8/10/2020,397,19,4.785894207,99.002493766,21,401
Three Rivers,8/10/2020,158,14,8.860759494,100,14,158
Unknown,8/10/2020,15,1,6.666666667,88.235294118,2,17
Virginia Beach,8/10/2020,692,54,7.803468208,99.711815562,54,694
West Piedmont,8/10/2020,46,10,21.739130435,100,10,46
Western Tidewater,8/10/2020,303,44,14.521452145,100,44,303
Alexandria,8/11/2020,291,6,2.061855670,90.654205607,8,321
Alleghany,8/11/2020,87,1,1.149425287,87,1,100
Arlington,8/11/2020,412,16,3.883495146,92.584269663,16,445
Central Shenandoah,8/11/2020,392,22,5.612244898,98,22,400
Central Virginia,8/11/2020,363,18,4.958677686,99.452054795,18,365
Chesapeake,8/11/2020,518,64,12.355212355,95.395948435,68,543
Chesterfield,8/11/2020,511,29,5.675146771,95.514018692,38,535
Chickahominy,8/11/2020,207,10,4.830917874,96.728971963,13,214
Crater,8/11/2020,272,17,6.25,97.841726619,17,278
Cumberland Plateau,8/11/2020,89,2,2.247191011,100,2,89
Eastern Shore,8/11/2020,38,3,7.894736842,92.682926829,3,41
Fairfax,8/11/2020,1733,91,5.251009810,90.166493236,107,1922
Hampton,8/11/2020,193,10,5.181347150,94.146341463,10,205
Henrico,8/11/2020,560,26,4.642857143,96.385542169,27,581
Lenowisco,8/11/2020,118,35,29.661016949,98.333333333,35,120
Lord Fairfax,8/11/2020,366,16,4.371584699,96.825396825,16,378
Loudoun,8/11/2020,559,29,5.187835420,90.746753247,33,616
Mount Rogers,8/11/2020,150,12,8,89.285714286,25,168
New River,8/11/2020,584,35,5.993150685,97.333333333,35,600
Norfolk,8/11/2020,405,25,6.172839506,95.971563981,26,422
Out of State,8/11/2020,478,17,3.556485356,99.376299376,17,481
Peninsula,8/11/2020,374,33,8.823529412,94.444444444,33,396
Piedmont,8/11/2020,96,6,6.25,100,6,96
Pittsylvania-Danville,8/11/2020,92,15,16.304347826,100,15,92
Portsmouth,8/11/2020,168,15,8.928571429,99.408284024,15,169
Prince William,8/11/2020,760,53,6.973684211,92.682926829,63,820
Rappahannock,8/11/2020,401,30,7.481296758,93.911007026,32,427
Rappahannock Rapidan,8/11/2020,192,8,4.166666667,91.866028708,10,209
Richmond,8/11/2020,368,19,5.163043478,98.395721925,21,374
Roanoke,8/11/2020,555,23,4.144144144,96.187175043,24,577
Southside,8/11/2020,95,5,5.263157895,97.938144330,5,97
Thomas Jefferson,8/11/2020,415,37,8.915662651,97.647058824,37,425
Three Rivers,8/11/2020,148,9,6.081081081,94.871794872,9,156
Unknown,8/11/2020,18,6,33.333333333,94.736842105,6,19
Virginia Beach,8/11/2020,751,39,5.193075899,94.943109987,41,791
West Piedmont,8/11/2020,98,27,27.551020408,98.989898990,27,99
Western Tidewater,8/11/2020,161,25,15.527950311,94.705882353,25,170
Alexandria,8/12/2020,285,16,5.614035088,87.692307692,20,325
Alleghany,8/12/2020,249,11,4.417670683,90.217391304,13,276
Arlington,8/12/2020,456,33,7.236842105,92.494929006,39,493
Central Shenandoah,8/12/2020,655,13,1.984732824,98.200899550,15,667
Central Virginia,8/12/2020,875,78,8.914285714,98.647125141,79,887
Chesapeake,8/12/2020,509,61,11.984282908,96.037735849,62,530
Chesterfield,8/12/2020,615,30,4.878048780,91.654247392,36,671
Chickahominy,8/12/2020,178,13,7.303370787,90.355329949,16,197
Crater,8/12/2020,316,25,7.911392405,96.932515337,26,326
Cumberland Plateau,8/12/2020,57,2,3.508771930,95,3,60
Eastern Shore,8/12/2020,103,8,7.766990291,99.038461538,8,104
Fairfax,8/12/2020,1759,119,6.765207504,87.165510406,139,2018
Hampton,8/12/2020,269,22,8.178438662,98.175182482,22,274
Henrico,8/12/2020,810,52,6.419753086,94.958968347,55,853
Lenowisco,8/12/2020,194,26,13.402061856,97,28,200
Lord Fairfax,8/12/2020,646,32,4.953560372,98.176291793,35,658
Loudoun,8/12/2020,513,22,4.288499025,86.655405405,30,592
Mount Rogers,8/12/2020,249,27,10.843373494,93.258426966,39,267
New River,8/12/2020,336,3,0.892857143,92.817679558,3,362
Norfolk,8/12/2020,653,55,8.422664625,98.048048048,58,666
Out of State,8/12/2020,518,21,4.054054054,99.233716475,21,522
Peninsula,8/12/2020,669,49,7.324364723,97.950219619,50,683
Piedmont,8/12/2020,120,5,4.166666667,91.603053435,5,131
Pittsylvania-Danville,8/12/2020,256,35,13.671875,96.969696970,35,264
Portsmouth,8/12/2020,427,54,12.646370023,99.071925754,55,431
Prince William,8/12/2020,939,88,9.371671991,92.878338279,95,1011
Rappahannock,8/12/2020,632,45,7.120253165,96.341463415,50,656
Rappahannock Rapidan,8/12/2020,221,8,3.619909502,90.204081633,11,245
Richmond,8/12/2020,344,19,5.523255814,94.505494505,23,364
Roanoke,8/12/2020,495,40,8.080808081,96.491228070,40,513
Southside,8/12/2020,146,11,7.534246575,97.333333333,11,150
Thomas Jefferson,8/12/2020,575,35,6.086956522,97.292724196,35,591
Three Rivers,8/12/2020,383,18,4.699738903,97.208121827,18,394
Unknown,8/12/2020,34,2,5.882352941,97.142857143,3,35
Virginia Beach,8/12/2020,775,46,5.935483871,94.975490196,52,816
West Piedmont,8/12/2020,225,48,21.333333333,97.402597403,50,231
Western Tidewater,8/12/2020,503,46,9.145129225,99.407114625,47,506
Alexandria,8/13/2020,411,29,7.055961071,93.197278912,33,441
Alleghany,8/13/2020,215,12,5.581395349,93.478260870,13,230
Arlington,8/13/2020,666,24,3.603603604,93.802816901,27,710
Central Shenandoah,8/13/2020,934,18,1.927194861,99.150743100,20,942
Central Virginia,8/13/2020,733,34,4.638472033,99.727891156,34,735
Chesapeake,8/13/2020,471,40,8.492569002,97.113402062,41,485
Chesterfield,8/13/2020,761,59,7.752956636,94.416873449,63,806
Chickahominy,8/13/2020,314,27,8.598726115,96.024464832,28,327
Crater,8/13/2020,329,17,5.167173252,96.198830409,20,342
Cumberland Plateau,8/13/2020,98,2,2.040816327,97.029702970,2,101
Eastern Shore,8/13/2020,113,4,3.539823009,99.122807018,4,114
Fairfax,8/13/2020,2074,113,5.448408872,90.331010453,129,2296
Hampton,8/13/2020,222,21,9.459459459,98.666666667,21,225
Henrico,8/13/2020,822,60,7.299270073,95.138888889,66,864
Lenowisco,8/13/2020,181,11,6.077348066,97.311827957,12,186
Lord Fairfax,8/13/2020,371,23,6.199460916,93.924050633,23,395
Loudoun,8/13/2020,695,39,5.611510791,89.561855670,43,776
Mount Rogers,8/13/2020,433,25,5.773672055,96.651785714,34,448
New River,8/13/2020,396,16,4.040404040,96.350364964,16,411
Norfolk,8/13/2020,488,52,10.655737705,98.189134809,53,497
Out of State,8/13/2020,408,22,5.392156863,99.270072993,22,411
Peninsula,8/13/2020,626,54,8.626198083,96.012269939,55,652
Piedmont,8/13/2020,151,12,7.947019868,98.051948052,12,154
Pittsylvania-Danville,8/13/2020,267,38,14.232209738,98.888888889,38,270
Portsmouth,8/13/2020,372,47,12.634408602,99.465240642,47,374
Prince William,8/13/2020,790,62,7.848101266,91.860465116,67,860
Rappahannock,8/13/2020,446,29,6.502242152,94.893617021,30,470
Rappahannock Rapidan,8/13/2020,209,10,4.784688995,90.476190476,13,231
Richmond,8/13/2020,462,42,9.090909091,97.881355932,46,472
Roanoke,8/13/2020,391,13,3.324808184,96.782178218,13,404
Southside,8/13/2020,147,10,6.802721088,96.710526316,12,152
Thomas Jefferson,8/13/2020,563,28,4.973357016,97.404844291,29,578
Three Rivers,8/13/2020,207,10,4.830917874,95.833333333,10,216
Unknown,8/13/2020,34,3,8.823529412,100,3,34
Virginia Beach,8/13/2020,823,65,7.897934386,95.809080326,69,859
West Piedmont,8/13/2020,168,30,17.857142857,97.109826590,33,173
Western Tidewater,8/13/2020,346,38,10.982658960,98.295454545,38,352
Alexandria,8/14/2020,310,19,6.129032258,91.445427729,20,339
Alleghany,8/14/2020,231,7,3.030303030,92.771084337,8,249
Arlington,8/14/2020,623,41,6.581059390,93.543543544,46,666
Central Shenandoah,8/14/2020,1049,22,2.097235462,99.337121212,22,1056
Central Virginia,8/14/2020,582,53,9.106529210,99.317406143,53,586
Chesapeake,8/14/2020,572,61,10.664335664,96.949152542,62,590
Chesterfield,8/14/2020,756,53,7.010582011,95.094339623,54,795
Chickahominy,8/14/2020,229,12,5.240174672,91.967871486,15,249
Crater,8/14/2020,368,28,7.608695652,98.395721925,29,374
Cumberland Plateau,8/14/2020,127,7,5.511811024,99.21875,7,128
Eastern Shore,8/14/2020,308,5,1.623376623,100,5,308
Fairfax,8/14/2020,2129,159,7.468294974,90.021141649,185,2365
Hampton,8/14/2020,228,15,6.578947368,97.435897436,15,234
Henrico,8/14/2020,875,55,6.285714286,95.108695652,59,920
Lenowisco,8/14/2020,160,31,19.375,94.117647059,32,170
Lord Fairfax,8/14/2020,328,9,2.743902439,96.755162242,10,339
Loudoun,8/14/2020,597,32,5.360134003,91.564417178,34,652
Mount Rogers,8/14/2020,272,12,4.411764706,96.797153025,13,281
New River,8/14/2020,218,22,10.091743119,94.372294372,26,231
Norfolk,8/14/2020,745,66,8.859060403,98.675496689,67,755
Out of State,8/14/2020,399,16,4.010025063,97.794117647,18,408
Peninsula,8/14/2020,767,48,6.258148631,97.956577267,50,783
Piedmont,8/14/2020,144,8,5.555555556,95.364238411,9,151
Pittsylvania-Danville,8/14/2020,165,19,11.515151515,98.802395210,19,167
Portsmouth,8/14/2020,275,32,11.636363636,99.637681159,32,276
Prince William,8/14/2020,800,88,11,94.451003542,98,847
Rappahannock,8/14/2020,459,39,8.496732026,95.824634656,43,479
Rappahannock Rapidan,8/14/2020,275,15,5.454545455,90.460526316,27,304
Richmond,8/14/2020,654,27,4.128440367,97.176820208,33,673
Roanoke,8/14/2020,449,22,4.899777283,98.249452954,22,457
Southside,8/14/2020,130,8,6.153846154,100,8,130
Thomas Jefferson,8/14/2020,500,39,7.8,97.276264591,41,514
Three Rivers,8/14/2020,350,13,3.714285714,97.493036212,13,359
Unknown,8/14/2020,37,4,10.810810811,97.368421053,5,38
Virginia Beach,8/14/2020,820,57,6.951219512,96.244131455,58,852
West Piedmont,8/14/2020,73,22,30.136986301,94.805194805,23,77
Western Tidewater,8/14/2020,424,58,13.679245283,96.803652968,60,438
Alexandria,8/15/2020,195,13,6.666666667,89.449541284,15,218
Alleghany,8/15/2020,184,9,4.891304348,92,9,200
Arlington,8/15/2020,347,10,2.881844380,89.896373057,11,386
Central Shenandoah,8/15/2020,455,22,4.835164835,98.698481562,24,461
Central Virginia,8/15/2020,550,36,6.545454545,98.743267504,37,557
Chesapeake,8/15/2020,372,55,14.784946237,94.656488550,58,393
Chesterfield,8/15/2020,453,27,5.960264901,92.827868852,28,488
Chickahominy,8/15/2020,172,13,7.558139535,92.473118280,16,186
Crater,8/15/2020,194,14,7.216494845,95.098039216,14,204
Cumberland Plateau,8/15/2020,65,4,6.153846154,97.014925373,4,67
Eastern Shore,8/15/2020,110,2,1.818181818,100,2,110
Fairfax,8/15/2020,1292,56,4.334365325,86.479250335,68,1494
Hampton,8/15/2020,188,13,6.914893617,97.916666667,13,192
Henrico,8/15/2020,604,47,7.781456954,95.569620253,52,632
Lenowisco,8/15/2020,122,13,10.655737705,93.129770992,16,131
Lord Fairfax,8/15/2020,568,15,2.640845070,96.928327645,16,586
Loudoun,8/15/2020,502,23,4.581673307,89.165186501,29,563
Mount Rogers,8/15/2020,268,15,5.597014925,97.101449275,16,276
New River,8/15/2020,811,13,1.602959309,98.661800487,13,822
Norfolk,8/15/2020,497,42,8.450704225,98.415841584,42,505
Out of State,8/15/2020,302,16,5.298013245,98.051948052,16,308
Peninsula,8/15/2020,514,28,5.447470817,96.616541353,30,532
Piedmont,8/15/2020,116,6,5.172413793,93.548387097,6,124
Pittsylvania-Danville,8/15/2020,227,29,12.775330396,98.695652174,29,230
Portsmouth,8/15/2020,217,25,11.520737327,98.636363636,25,220
Prince William,8/15/2020,672,64,9.523809524,91.056910569,72,738
Rappahannock,8/15/2020,325,25,7.692307692,91.807909605,25,354
Rappahannock Rapidan,8/15/2020,251,7,2.788844622,92.962962963,10,270
Richmond,8/15/2020,429,16,3.729603730,97.058823529,18,442
Roanoke,8/15/2020,868,28,3.225806452,98.524404086,29,881
Southside,8/15/2020,61,3,4.918032787,91.044776119,4,67
Thomas Jefferson,8/15/2020,371,16,4.312668464,97.120418848,16,382
Three Rivers,8/15/2020,161,10,6.211180124,94.705882353,11,170
Unknown,8/15/2020,41,3,7.317073171,100,3,41
Virginia Beach,8/15/2020,754,57,7.559681698,97.668393782,60,772
West Piedmont,8/15/2020,185,19,10.270270270,98.404255319,20,188
Western Tidewater,8/15/2020,428,41,9.579439252,97.494305239,43,439
Alexandria,8/16/2020,328,17,5.182926829,96.187683284,18,341
Alleghany,8/16/2020,125,8,6.4,88.652482270,9,141
Arlington,8/16/2020,375,26,6.933333333,94.458438287,27,397
Central Shenandoah,8/16/2020,438,16,3.652968037,99.545454545,16,440
Central Virginia,8/16/2020,477,41,8.595387841,98.350515464,42,485
Chesapeake,8/16/2020,311,21,6.752411576,96.583850932,21,322
Chesterfield,8/16/2020,401,30,7.481296758,90.315315315,43,444
Chickahominy,8/16/2020,141,6,4.255319149,92.156862745,7,153
Crater,8/16/2020,319,34,10.658307210,98.456790123,34,324
Cumberland Plateau,8/16/2020,77,5,6.493506494,100,5,77
Eastern Shore,8/16/2020,72,2,2.777777778,100,2,72
Fairfax,8/16/2020,1532,86,5.613577023,93.528693529,94,1638
Hampton,8/16/2020,143,8,5.594405594,98.620689655,8,145
Henrico,8/16/2020,511,24,4.696673190,95.158286778,26,537
Lenowisco,8/16/2020,293,17,5.802047782,99.322033898,17,295
Lord Fairfax,8/16/2020,235,10,4.255319149,96.707818930,10,243
Loudoun,8/16/2020,436,33,7.568807339,92.372881356,35,472
Mount Rogers,8/16/2020,235,23,9.787234043,99.156118143,23,237
New River,8/16/2020,885,5,0.564971751,98.442714127,5,899
Norfolk,8/16/2020,330,26,7.878787879,97.922848665,27,337
Out of State,8/16/2020,227,4,1.762114537,97.424892704,4,233
Peninsula,8/16/2020,441,29,6.575963719,98,30,450
Piedmont,8/16/2020,129,8,6.201550388,95.555555556,8,135
Pittsylvania-Danville,8/16/2020,167,18,10.778443114,98.816568047,18,169
Portsmouth,8/16/2020,187,22,11.764705882,98.941798942,23,189
Prince William,8/16/2020,632,59,9.335443038,95.468277946,62,662
Rappahannock,8/16/2020,350,31,8.857142857,94.594594595,34,370
Rappahannock Rapidan,8/16/2020,238,14,5.882352941,96.747967480,16,246
Richmond,8/16/2020,430,15,3.488372093,97.065462754,17,443
Roanoke,8/16/2020,175,14,8,92.105263158,14,190
Southside,8/16/2020,146,9,6.164383562,97.986577181,9,149
Thomas Jefferson,8/16/2020,287,18,6.271777003,96.959459459,18,296
Three Rivers,8/16/2020,131,4,3.053435115,96.323529412,4,136
Unknown,8/16/2020,34,4,11.764705882,100,4,34
Virginia Beach,8/16/2020,809,34,4.202719407,97.002398082,38,834
West Piedmont,8/16/2020,86,7,8.139534884,96.629213483,7,89
Western Tidewater,8/16/2020,313,44,14.057507987,98.738170347,45,317
Alexandria,8/17/2020,312,15,4.807692308,98.422712934,17,317
Alleghany,8/17/2020,42,3,7.142857143,75,4,56
Arlington,8/17/2020,329,20,6.079027356,98.208955224,22,335
Central Shenandoah,8/17/2020,313,14,4.472843450,100,14,313
Central Virginia,8/17/2020,153,22,14.379084967,97.452229299,22,157
Chesapeake,8/17/2020,405,52,12.839506173,99.753694581,52,406
Chesterfield,8/17/2020,483,30,6.211180124,98.975409836,34,488
Chickahominy,8/17/2020,203,4,1.970443350,98.067632850,6,207
Crater,8/17/2020,225,21,9.333333333,99.557522124,21,226
Cumberland Plateau,8/17/2020,35,2,5.714285714,100,2,35
Eastern Shore,8/17/2020,33,0,0,100,0,33
Fairfax,8/17/2020,1532,94,6.135770235,96.900695762,100,1581
Hampton,8/17/2020,192,18,9.375,100,18,192
Henrico,8/17/2020,620,37,5.967741935,97.946287520,45,633
Lenowisco,8/17/2020,53,6,11.320754717,98.148148148,7,54
Lord Fairfax,8/17/2020,216,13,6.018518519,99.082568807,14,218
Loudoun,8/17/2020,448,33,7.366071429,95.931477516,38,467
Mount Rogers,8/17/2020,84,8,9.523809524,93.333333333,12,90
New River,8/17/2020,1018,4,0.392927308,98.643410853,6,1032
Norfolk,8/17/2020,388,36,9.278350515,99.487179487,36,390
Out of State,8/17/2020,481,22,4.573804574,98.971193416,22,486
Peninsula,8/17/2020,383,38,9.921671018,99.222797927,38,386
Piedmont,8/17/2020,124,3,2.419354839,100,3,124
Pittsylvania-Danville,8/17/2020,65,12,18.461538462,100,12,65
Portsmouth,8/17/2020,190,25,13.157894737,98.958333333,25,192
Prince William,8/17/2020,628,55,8.757961783,94.152923538,67,667
Rappahannock,8/17/2020,356,30,8.426966292,97.002724796,32,367
Rappahannock Rapidan,8/17/2020,176,13,7.386363636,96.174863388,19,183
Richmond,8/17/2020,554,21,3.790613718,99.461400359,24,557
Roanoke,8/17/2020,657,16,2.435312024,97.767857143,18,672
Southside,8/17/2020,94,11,11.702127660,100,11,94
Thomas Jefferson,8/17/2020,366,16,4.371584699,97.860962567,17,374
Three Rivers,8/17/2020,150,3,2,96.774193548,5,155
Unknown,8/17/2020,73,1,1.369863014,100,1,73
Virginia Beach,8/17/2020,658,61,9.270516717,99.096385542,61,664
West Piedmont,8/17/2020,76,18,23.684210526,97.435897436,20,78
Western Tidewater,8/17/2020,317,38,11.987381703,100,38,317
Alexandria,8/18/2020,185,10,5.405405405,93.434343434,10,198
Alleghany,8/18/2020,125,7,5.6,91.911764706,7,136
Arlington,8/18/2020,256,11,4.296875,88.888888889,17,288
Central Shenandoah,8/18/2020,363,7,1.928374656,98.910081744,8,367
Central Virginia,8/18/2020,260,37,14.230769231,100,37,260
Chesapeake,8/18/2020,249,34,13.654618474,93.962264151,34,265
Chesterfield,8/18/2020,404,28,6.930693069,98.058252427,33,412
Chickahominy,8/18/2020,133,8,6.015037594,98.518518519,8,135
Crater,8/18/2020,219,21,9.589041096,99.545454545,21,220
Cumberland Plateau,8/18/2020,75,1,1.333333333,100,1,75
Eastern Shore,8/18/2020,137,6,4.379562044,100,6,137
Fairfax,8/18/2020,1471,72,4.894629504,91.765439800,88,1603
Hampton,8/18/2020,106,9,8.490566038,96.363636364,11,110
Henrico,8/18/2020,377,18,4.774535809,97.164948454,23,388
Lenowisco,8/18/2020,123,4,3.252032520,92.481203008,7,133
Lord Fairfax,8/18/2020,304,14,4.605263158,97.124600639,14,313
Loudoun,8/18/2020,388,14,3.608247423,90.023201856,19,431
Mount Rogers,8/18/2020,126,9,7.142857143,88.111888112,25,143
New River,8/18/2020,1151,14,1.216333623,98.713550600,14,1166
Norfolk,8/18/2020,418,27,6.459330144,98.817966903,30,423
Out of State,8/18/2020,479,25,5.219206681,96.963562753,27,494
Peninsula,8/18/2020,244,33,13.524590164,97.6,35,250
Piedmont,8/18/2020,77,5,6.493506494,98.717948718,5,78
Pittsylvania-Danville,8/18/2020,113,15,13.274336283,100,15,113
Portsmouth,8/18/2020,119,16,13.445378151,97.540983607,17,122
Prince William,8/18/2020,576,43,7.465277778,94.271685761,46,611
Rappahannock,8/18/2020,316,16,5.063291139,96.341463415,16,328
Rappahannock Rapidan,8/18/2020,191,51,26.701570681,92.718446602,59,206
Richmond,8/18/2020,257,14,5.447470817,97.718631179,15,263
Roanoke,8/18/2020,615,25,4.065040650,98.874598071,25,622
Southside,8/18/2020,77,5,6.493506494,100,5,77
Thomas Jefferson,8/18/2020,457,33,7.221006565,98.704103672,33,463
Three Rivers,8/18/2020,171,6,3.508771930,100,6,171
Unknown,8/18/2020,34,3,8.823529412,97.142857143,3,35
Virginia Beach,8/18/2020,415,23,5.542168675,97.877358491,24,424
West Piedmont,8/18/2020,145,26,17.931034483,98.639455782,28,147
Western Tidewater,8/18/2020,178,22,12.359550562,98.342541436,23,181
Alexandria,8/19/2020,306,22,7.189542484,93.865030675,23,326
Alleghany,8/19/2020,178,22,12.359550562,85.576923077,23,208
Arlington,8/19/2020,617,23,3.727714749,90.735294118,28,680
Central Shenandoah,8/19/2020,424,11,2.594339623,96.803652968,11,438
Central Virginia,8/19/2020,632,51,8.069620253,98.442367601,51,642
Chesapeake,8/19/2020,489,52,10.633946830,96.831683168,54,505
Chesterfield,8/19/2020,519,36,6.936416185,92.348754448,42,562
Chickahominy,8/19/2020,205,13,6.341463415,91.111111111,14,225
Crater,8/19/2020,327,82,25.076452599,96.745562130,82,338
Cumberland Plateau,8/19/2020,46,7,15.217391304,90.196078431,8,51
Eastern Shore,8/19/2020,64,1,1.5625,100,1,64
Fairfax,8/19/2020,1997,117,5.858788182,88.913624221,139,2246
Hampton,8/19/2020,188,20,10.638297872,96.907216495,20,194
Henrico,8/19/2020,602,37,6.146179402,95.555555556,40,630
Lenowisco,8/19/2020,86,4,4.651162791,92.473118280,4,93
Lord Fairfax,8/19/2020,607,16,2.635914333,97.431781701,16,623
Loudoun,8/19/2020,722,35,4.847645429,88.916256158,43,812
Mount Rogers,8/19/2020,158,16,10.126582278,90.804597701,26,174
New River,8/19/2020,1076,14,1.301115242,97.818181818,18,1100
Norfolk,8/19/2020,630,48,7.619047619,98.901098901,49,637
Out of State,8/19/2020,459,18,3.921568627,98.922413793,18,464
Peninsula,8/19/2020,524,54,10.305343511,97.217068646,56,539
Piedmont,8/19/2020,127,5,3.937007874,97.692307692,6,130
Pittsylvania-Danville,8/19/2020,214,22,10.280373832,97.716894977,22,219
Portsmouth,8/19/2020,285,28,9.824561404,98.958333333,28,288
Prince William,8/19/2020,1126,77,6.838365897,93.677204659,88,1202
Rappahannock,8/19/2020,613,49,7.993474715,95.038759690,50,645
Rappahannock Rapidan,8/19/2020,216,14,6.481481481,88.888888889,21,243
Richmond,8/19/2020,429,22,5.128205128,95.973154362,26,447
Roanoke,8/19/2020,410,24,5.853658537,96.244131455,25,426
Southside,8/19/2020,163,18,11.042944785,97.604790419,19,167
Thomas Jefferson,8/19/2020,545,24,4.403669725,96.975088968,25,562
Three Rivers,8/19/2020,216,9,4.166666667,95.154185022,10,227
Unknown,8/19/2020,80,4,5,100,4,80
Virginia Beach,8/19/2020,810,66,8.148148148,96.313912010,69,841
West Piedmont,8/19/2020,141,41,29.078014184,95.270270270,41,148
Western Tidewater,8/19/2020,345,36,10.434782609,97.733711048,36,353
Alexandria,8/20/2020,298,21,7.046979866,92.260061920,25,323
Alleghany,8/20/2020,234,11,4.700854701,90,13,260
Arlington,8/20/2020,509,34,6.679764244,91.877256318,38,554
Central Shenandoah,8/20/2020,899,17,1.890989989,99.337016575,17,905
Central Virginia,8/20/2020,665,64,9.624060150,97.650513950,64,681
Chesapeake,8/20/2020,423,44,10.401891253,96.796338673,44,437
Chesterfield,8/20/2020,601,35,5.823627288,94.053208138,40,639
Chickahominy,8/20/2020,211,8,3.791469194,95.475113122,9,221
Crater,8/20/2020,289,34,11.764705882,96.979865772,34,298
Cumberland Plateau,8/20/2020,76,2,2.631578947,88.372093023,4,86
Eastern Shore,8/20/2020,82,5,6.097560976,100,5,82
Fairfax,8/20/2020,1731,115,6.643558637,87.823439878,140,1971
Hampton,8/20/2020,205,20,9.756097561,97.619047619,21,210
Henrico,8/20/2020,658,70,10.638297872,96.198830409,74,684
Lenowisco,8/20/2020,133,8,6.015037594,91.724137931,9,145
Lord Fairfax,8/20/2020,494,13,2.631578947,97.821782178,14,505
Loudoun,8/20/2020,667,32,4.797601199,90.625,33,736
Mount Rogers,8/20/2020,273,33,12.087912088,93.174061433,42,293
New River,8/20/2020,1171,31,2.647309991,98.902027027,31,1184
Norfolk,8/20/2020,550,44,8,98.389982111,44,559
Out of State,8/20/2020,448,26,5.803571429,98.245614035,26,456
Peninsula,8/20/2020,624,46,7.371794872,98.422712934,47,634
Piedmont,8/20/2020,147,14,9.523809524,97.350993377,14,151
Pittsylvania-Danville,8/20/2020,217,29,13.364055300,100,29,217
Portsmouth,8/20/2020,311,32,10.289389068,99.361022364,32,313
Prince William,8/20/2020,782,59,7.544757033,92.325855962,70,847
Rappahannock,8/20/2020,551,24,4.355716878,95.164075993,29,579
Rappahannock Rapidan,8/20/2020,212,10,4.716981132,92.576419214,16,229
Richmond,8/20/2020,790,37,4.683544304,97.410604192,39,811
Roanoke,8/20/2020,521,43,8.253358925,96.660482375,44,539
Southside,8/20/2020,92,10,10.869565217,91.089108911,11,101
Thomas Jefferson,8/20/2020,568,41,7.218309859,98.440207972,42,577
Three Rivers,8/20/2020,245,11,4.489795918,96.456692913,11,254
Unknown,8/20/2020,83,5,6.024096386,100,5,83
Virginia Beach,8/20/2020,914,55,6.017505470,97.234042553,58,940
West Piedmont,8/20/2020,178,32,17.977528090,95.698924731,34,186
Western Tidewater,8/20/2020,443,63,14.221218962,98.444444444,63,450
Alexandria,8/21/2020,300,20,6.666666667,92.879256966,25,323
Alleghany,8/21/2020,163,15,9.202453988,87.165775401,16,187
Arlington,8/21/2020,473,20,4.228329810,88.246268657,22,536
Central Shenandoah,8/21/2020,294,10,3.401360544,95.765472313,12,307
Central Virginia,8/21/2020,340,49,14.411764706,98.550724638,49,345
Chesapeake,8/21/2020,315,43,13.650793651,96.036585366,43,328
Chesterfield,8/21/2020,620,62,10,89.855072464,71,690
Chickahominy,8/21/2020,216,7,3.240740741,91.139240506,9,237
Crater,8/21/2020,226,40,17.699115044,92.622950820,45,244
Cumberland Plateau,8/21/2020,49,1,2.040816327,96.078431373,1,51
Eastern Shore,8/21/2020,83,2,2.409638554,100,2,83
Fairfax,8/21/2020,1678,102,6.078665077,87.350338365,116,1921
Hampton,8/21/2020,255,20,7.843137255,99.221789883,20,257
Henrico,8/21/2020,827,48,5.804111245,95.828505214,52,863
Lenowisco,8/21/2020,239,13,5.439330544,97.154471545,14,246
Lord Fairfax,8/21/2020,354,14,3.954802260,97.252747253,15,364
Loudoun,8/21/2020,560,31,5.535714286,89.030206677,42,629
Mount Rogers,8/21/2020,241,19,7.883817427,97.177419355,20,248
New River,8/21/2020,1209,28,2.315963606,97.974068071,29,1234
Norfolk,8/21/2020,377,39,10.344827586,97.668393782,40,386
Out of State,8/21/2020,600,39,6.5,99.173553719,39,605
Peninsula,8/21/2020,816,75,9.191176471,97.027348395,76,841
Piedmont,8/21/2020,127,6,4.724409449,98.449612403,6,129
Pittsylvania-Danville,8/21/2020,198,24,12.121212121,99.497487437,24,199
Portsmouth,8/21/2020,192,27,14.0625,99.481865285,27,193
Prince William,8/21/2020,803,62,7.721046077,91.146424518,85,881
